"","n","nmiss","outlier_flag","mean","stdev","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","UC","LC"
"Monthly_Income",87020,0,1,58849.974350724,2177511.36139593,0,2583,10000,12000,16500,25000,40000,62000,95000,250000,444554443,6591384.05853852,-6473684.10983707
"Loan_Amount_Applied",86949,71,1,230250.699927544,354206.75946817,0,0,0,0,0,100000,300000,500000,1000000,1500000,10000000,1292870.97833205,-832369.578476966
"Loan_Tenure_Applied",86949,71,1,2.13139886600191,2.0141931175875,0,0,0,0,0,2,4,5,5,5,10,8.1739782187644,-3.91118048676058
"Existing_EMI",86949,71,1,3696.22782389677,39810.2119198688,0,0,0,0,0,0,3500,10000,18000,40552.0000000004,10000000,123126.863583503,-115734.40793571
"Loan_Amount_Submitted",52407,34613,1,395010.590188334,308248.13625488,50000,60000,100000,100000,200000,300000,500000,800000,1000000,1500000,3000000,1319754.99895297,-529733.818576307
"Loan_Tenure_Submitted",52407,34613,0,3.89136947354361,1.16535892027357,1,1,2,2,3,4,5,5,5,5,6,7.38744623436431,0.395292712722912
"Interest_Rate",27726,59294,1,19.197474211931,5.83421325830129,11.99,12.99,13.5,13.99,15.25,18,20,31.5,31.5,37,37,36.7001139868349,1.69483443702717
"Processing_Fee",27420,59600,1,5131.15083880379,4725.83764376369,200,700,1000,1200,2000,4000,6250,10000,14000,24000,50000,19308.6637700949,-9046.36209248727
"EMI_Loan_Submitted",27726,59294,1,10999.528376614,7512.32304966543,1176.41,2405.32,3447.1,4102.405,6491.6,9392.97,12919.04,19150.79,25444.4125,40614.48,144748.28,33536.4975256103,-11537.4407723823
"LoggedIn",87020,0,1,0.0293495748103884,0.168785380432236,0,0,0,0,0,0,0,0,0,1,1,0.535705716107097,-0.47700656648632
"Disbursed",87020,0,1,0.0146288209606987,0.120062417972451,0,0,0,0,0,0,0,0,0,1,1,0.37481607487805,-0.345558432956653
