"","n","nmiss","outlier_flag","mean","stdev","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","UC","LC"
"Amount.Requested",2423,1,0,12486.6178291374,7780.10164518813,1000,1500,3000,4000,6000,10000,17000,24000,28000,35000,35000,35826.9227647018,-10853.687106427
"Amount.Funded.By.Investors",2423,1,0,12071.2978250103,7726.12785107433,-0.01,935.4784,2252.5,3800,6000,10000,16187.5,23950,27878.928,35000,35000,35249.6813782333,-11107.0857282127
"Interest.Rate",2422,2,0,13.0698761354253,4.15842277211048,5.42,5.832,6.62,7.62,10.16,13.11,15.8,18.64,20.49,22.95,24.89,25.5451444517567,0.59460781909382
"Debt.To.Income.Ratio",2423,1,0,15.3882707387536,7.48292033914433,0,0.7684,3.18,5.336,9.76,15.33,20.645,24.968,28.279,33.2124,34.91,37.8370317561866,-7.06049027867939
"Monthly.Income",2423,1,1,5739.35853074701,3991.04310795575,588.5,1500,2250,2666.67,3500,5000,6833.33,9333.33,12000,18750,102750,17712.4878546143,-6233.77079312024
"Open.CREDIT.Lines",2421,3,1,10.1045022717885,4.50603639784381,2,3,4,5,7,9,13,16,18,23,38,23.6226114653199,-3.4136069217429
"Revolving.CREDIT.Balance",2421,3,1,15302.9103676167,18310.1546733219,0,0,985,2316,5624,11031,19020,30679,40782,91259.200000001,270800,70233.3743875823,-39627.5536523489
"Inquiries.in.the.Last.6.Months",2421,3,1,0.906237092110698,1.2354468224906,0,0,0,0,0,0,1,3,3,5,9,4.6125775595825,-2.8001033753611
"Employment.Length",2423,1,0,5.38877424680149,3.58705436035048,0,0,0,0,2,5,10,10,10,10,10,16.1499373278529,-5.37238883424996
"FICO.Score",2422,2,1,707.933113129645,34.9868162124714,642,662,662,667,682,702,727,757,777,807,832,812.893561767059,602.97266449223
